EVENT_ID,SOURCE,PROJECT,STATION,SAMPLE_DATE,SAMPLE_TIME,DEPTH,LAYER,SAMPLE_TYPE,SAMPLE_ID,PARAMETER,QUALIFIER,VALUE,UNIT,METHOD,LAB,PROBLEM,DETAILS,TOTAL_DEPTH,UPPER_PYCNOCLINE,LOWER_PYCNOCLINE,LAT,LONG
66574,MDDNR,TRIB,CB5.1W,8/6/2001,9:21,3,AP,ISM,M1,SALINITY,,15,PPT,F02,,,,9,,,38.32522,-76.37574
66574,MDDNR,TRIB,CB5.1W,8/6/2001,9:21,6,BP,ISM,M1,SALINITY,,15.27,PPT,F02,,,,9,,,38.32522,-76.37574
66574,MDDNR,TRIB,CB5.1W,8/6/2001,9:21,8,B,ISM,M1,SALINITY,,15.2,PPT,F02,,,,9,,,38.32522,-76.37574
66575,MDDNR,TRIB,CB5.1W,8/20/2001,8:54,0.5,S,ISM,M1,SALINITY,,15,PPT,F02,,,,9,,,38.32522,-76.37574
66575,MDDNR,TRIB,CB5.1W,8/20/2001,8:54,3,AP,ISM,M1,SALINITY,,15.07,PPT,F02,,,,9,,,38.32522,-76.37574
66575,MDDNR,TRIB,CB5.1W,8/20/2001,8:54,6,BP,ISM,M1,SALINITY,,15.07,PPT,F02,,,,9,,,38.32522,-76.37574
66575,MDDNR,TRIB,CB5.1W,8/20/2001,8:54,8,B,ISM,M1,SALINITY,,16.36,PPT,F02,,,,9,,,38.32522,-76.37574
66706,MDDNR,TRIB,CB5.1W,9/6/2001,9:10,0.5,S,ISM,M1,SALINITY,,15.34,PPT,F02,,,,9,,,38.32522,-76.37574
66706,MDDNR,TRIB,CB5.1W,9/6/2001,9:10,3,AP,ISM,M1,SALINITY,,15.34,PPT,F02,,,,9,,,38.32522,-76.37574
66706,MDDNR,TRIB,CB5.1W,9/6/2001,9:10,6,BP,ISM,M1,SALINITY,,15.34,PPT,F02,,,,9,,,38.32522,-76.37574
66706,MDDNR,TRIB,CB5.1W,9/6/2001,9:10,8,B,ISM,M1,SALINITY,,15.61,PPT,F02,,,,9,,,38.32522,-76.37574
66707,MDDNR,TRIB,CB5.1W,9/20/2001,9:10,0.5,S,ISM,M1,SALINITY,,16.63,PPT,F02,,,,9,,,38.32522,-76.37574
66707,MDDNR,TRIB,CB5.1W,9/20/2001,9:10,3,AP,ISM,M1,SALINITY,,17.45,PPT,F02,,,,9,,,38.32522,-76.37574
66707,MDDNR,TRIB,CB5.1W,9/20/2001,9:10,6,BP,ISM,M1,SALINITY,,17.66,PPT,F02,,,,9,,,38.32522,-76.37574
66707,MDDNR,TRIB,CB5.1W,9/20/2001,9:10,8,B,ISM,M1,SALINITY,,18.35,PPT,F02,,,,9,,,38.32522,-76.37574
